algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,3178,10275,7
QuickSort,random,1000,0,1366,17316,6
QuickSelect,random,1000,0,2372,4577,1
MergeSort,sorted,1000,0,0632,3956,7
QuickSort,sorted,1000,0,0437,17054,6
QuickSelect,sorted,1000,0,1228,5159,1
MergeSort,duplicates,1000,0,1041,9802,7
QuickSort,duplicates,1000,0,0163,5451,2
QuickSelect,duplicates,1000,0,0857,3190,1
MergeSort,random,10000,2,8234,126955,11
QuickSort,random,10000,0,8521,250191,8
QuickSelect,random,10000,0,4045,44547,1
MergeSort,sorted,10000,0,1534,59248,11
QuickSort,sorted,10000,0,4500,237859,8
QuickSelect,sorted,10000,0,2513,57926,1
MergeSort,duplicates,10000,0,4082,121558,11
QuickSort,duplicates,10000,0,1584,58027,2
QuickSelect,duplicates,10000,0,2396,40885,1
MergeSort,random,100000,9,1488,1639038,14
QuickSort,random,100000,10,7121,3185010,11
QuickSelect,random,100000,1,3558,534659,1
MergeSort,sorted,100000,1,9966,744016,14
QuickSort,sorted,100000,5,6110,3198192,11
QuickSelect,sorted,100000,0,5324,507290,1
MergeSort,duplicates,100000,5,8659,1562058,14
QuickSort,duplicates,100000,1,8812,530017,2
QuickSelect,duplicates,100000,1,2888,410957,1
MergeSort,random,1000000,111,4374,20222672,17
QuickSort,random,1000000,119,7325,38031932,13
QuickSelect,random,1000000,14,2544,4781269,1
MergeSort,sorted,1000000,23,6741,8952320,17
QuickSort,sorted,1000000,61,6150,39450387,13
QuickSelect,sorted,1000000,3,9604,4690101,1
MergeSort,duplicates,1000000,49,8230,19207231,17
QuickSort,duplicates,1000000,15,3527,5199065,2
QuickSelect,duplicates,1000000,9,4185,3000255,1
